LevelID,HintType,RuleID,TriggerCondition,Mechanic,Priority,RequiredCorrect,RequiredIncorrect,HintText,ClueTitle,RelatedIngredients,WriteToExperimentLog
L01,Fallback,L01_Fallback,No new hint,General,999,,,No new hint for now. Keep what worked, and change only one thing on your next try.,,Rice,No
L02,Fallback,L02_Fallback,No new hint,General,999,,,No new hint for now. Keep what worked, and change only one thing on your next try.,,TeaLeaf,No
L03,Fallback,L03_Fallback,No new hint,General,999,,,No new hint for now. Keep what worked, and change only one thing on your next try.,,"RedBean,DriedTangerinePeel,RockSugar",No
L04,Fallback,L04_Fallback,No new hint,General,999,,,No new hint for now. Keep what worked, and change only one thing on your next try.,,"Peanut,BlackSesame",No
L05,Fallback,L05_Fallback,No new hint,General,999,,,No new hint for now. Keep what worked, and change only one thing on your next try.,,"WhitePepper,DriedTangerinePeel",No
L06,Fallback,L06_Fallback,No new hint,General,999,,,No new hint for now. Keep what worked, and change only one thing on your next try.,,"BlackSesame,GlutinousRice",No
L07,Fallback,L07_Fallback,No new hint,General,999,,,No new hint for now. Keep what worked, and change only one thing on your next try.,,"SandGinger,CoarseSalt,DriedTangerinePeel",No
L08,Fallback,L08_Fallback,No new hint,General,999,,,No new hint for now. Keep what worked, and change only one thing on your next try.,,"WhitePepper,Peanut,DriedTangerinePeel",No
L09,Fallback,L09_Fallback,No new hint,General,999,,,No new hint for now. Keep what worked, and change only one thing on your next try.,,"GlutinousRice,RedBean,LotusLeaf,BlackSesame",No
L10,Fallback,L10_Fallback,No new hint,General,999,,,No new hint for now. Keep what worked, and change only one thing on your next try.,,"YangjiangDouchi,Ginger,DriedTangerinePeel,CoarseSalt",No
L11,Fallback,L11_Fallback,No new hint,General,999,,,No new hint for now. Keep what worked, and change only one thing on your next try.,,"SandGinger,Ginger,ScallionWhite,CoarseSalt",No
L01,ProgressiveHint,L01_Hint_Force,Evaluate hint,Force,20,,,Rice does not need full force. Try setting the force near the middle of the slider.,,Rice,No
L01,PermanentClue,L01_Rice_Force,Unlocked after Correct,Force,0,,,Rice works best with medium force. Too little force keeps it weak; too much can make it taste burnt.,Rice - Force Clue,Rice,Yes
L02,ProgressiveHint,L02_Hint_Speed,Evaluate hint,Speed,20,,,Tea needs slow grinding. Set the speed to Slow.,,TeaLeaf,No
L02,PermanentClue,L02_Tea_Speed,Unlocked after Correct,Speed,0,,,Tea leaves work best with slow grinding. Fast grinding makes the tea too bitter.,Tea Leaf - Speed Clue,TeaLeaf,Yes
L03,ProgressiveHint,L03_Hint_RedBean_Order,Evaluate hint,IngredientOrder,22,,,Red bean should go first. Place it before dried tangerine peel and rock sugar.,,RedBean,No
L03,ProgressiveHint,L03_Hint_Peel_Order,Evaluate hint,IngredientOrder,21,,,Dried tangerine peel should come after red bean so it does not make the base bitter.,,DriedTangerinePeel,No
