IngredientID,EnglishName,AromaType,InitialDescription,DefaultRatio
Rice,Rice,Soft grain,"Rice is mild and clean. It needs steady grinding, but too much force can make it taste burnt.",Normal
TeaLeaf,Tea Leaves,Tea,"Tea leaves taste bitter at first and sweet later. Slow grinding helps the sweetness come out.",Normal
BlackSesame,Black Sesame,Roasted nut,"Black sesame has a strong roasted flavor. It can lead a recipe, but too much makes it bitter.",High
GlutinousRice,Glutinous Rice,Sticky grain,"Glutinous rice makes the mixture smooth and thick. It should support stronger flavors.",Normal
Peanut,Peanut,Roasted nut,"Peanut gives a warm roasted flavor. It works well with other nutty ingredients.",Normal
RedBean,Red Bean,Sweet bean,"Red bean is thick and gently sweet. It works well as a base flavor.",High
DriedTangerinePeel,Dried Tangerine Peel,Citrus peel,"Dried tangerine peel is bright and slightly bitter. It works best as a small accent.",Low
RockSugar,Rock Sugar,Clean sweetness,"Rock sugar adds clean sweetness. It should round out the recipe instead of taking over.",Normal
SandGinger,Sand Ginger,Root spice,"Sand ginger is deep and spicy. It needs enough force to bring out its flavor.",High
CoarseSalt,Coarse Salt,Salt,"Coarse salt supports other flavors. Use it lightly so it does not become the main taste.",Low
WhitePepper,White Pepper,Sharp spice,"White pepper is sharp and quick to spread. Too much grinding can make it harsh.",High
LotusLeaf,Lotus Leaf,Green leaf,"Lotus leaf is light and fresh. It can be covered easily by stronger ingredients.",Low
YangjiangDouchi,Yangjiang Douchi,Fermented bean,"Yangjiang douchi is savory and fermented. It gives the recipe a strong base.",High
Ginger,Ginger,Fresh spice,"Ginger is fresh and sharp. It can brighten a recipe, but it can also become too strong.",Normal
ScallionWhite,Scallion White,Fresh green,"Scallion white is fresh and light. It works best near the end of a recipe.",Low
