LevelID,HintType,RuleID,TriggerCondition,Mechanic,Priority,RequiredCorrect,RequiredIncorrect,HintText,ClueTitle,RelatedIngredients,WriteToExperimentLog
L01,Fallback,L01_Fallback,No new hint,General,999,,,No new experiment conclusion is available yet. Keep the parts that are already correct and adjust only one uncertain mechanic at a time.,,Rice,No
L02,Fallback,L02_Fallback,No new hint,General,999,,,No new experiment conclusion is available yet. Keep the parts that are already correct and adjust only one uncertain mechanic at a time.,,TeaLeaf,No
L03,Fallback,L03_Fallback,No new hint,General,999,,,No new experiment conclusion is available yet. Keep the parts that are already correct and adjust only one uncertain mechanic at a time.,,"BlackSesame,GlutinousRice",No
L04,Fallback,L04_Fallback,No new hint,General,999,,,No new experiment conclusion is available yet. Keep the parts that are already correct and adjust only one uncertain mechanic at a time.,,"Peanut,BlackSesame",No
L05,Fallback,L05_Fallback,No new hint,General,999,,,No new experiment conclusion is available yet. Keep the parts that are already correct and adjust only one uncertain mechanic at a time.,,"RedBean,DriedTangerinePeel,RockSugar",No
L06,Fallback,L06_Fallback,No new hint,General,999,,,No new experiment conclusion is available yet. Keep the parts that are already correct and adjust only one uncertain mechanic at a time.,,"SandGinger,CoarseSalt,DriedTangerinePeel",No
L07,Fallback,L07_Fallback,No new hint,General,999,,,No new experiment conclusion is available yet. Keep the parts that are already correct and adjust only one uncertain mechanic at a time.,,"WhitePepper,Peanut,DriedTangerinePeel",No
L08,Fallback,L08_Fallback,No new hint,General,999,,,No new experiment conclusion is available yet. Keep the parts that are already correct and adjust only one uncertain mechanic at a time.,,"GlutinousRice,RedBean,LotusLeaf,BlackSesame",No
L09,Fallback,L09_Fallback,No new hint,General,999,,,No new experiment conclusion is available yet. Keep the parts that are already correct and adjust only one uncertain mechanic at a time.,,"YangjiangDouchi,Ginger,DriedTangerinePeel,CoarseSalt",No
L10,Fallback,L10_Fallback,No new hint,General,999,,,No new experiment conclusion is available yet. Keep the parts that are already correct and adjust only one uncertain mechanic at a time.,,"SandGinger,Ginger,ScallionWhite,CoarseSalt",No
L01,ProcessCheck,L01_Process_Force_Wrong,Process diagnostic,Force,30,,Force,"The force is not right for rice yet. Keep the slider near Medium: too light leaves grains closed, while too heavy creates heat.",,Rice,No
L01,ProcessCheck,L01_Process_Duration_Wrong,Process diagnostic,GrindDuration,25,,GrindDuration,"The grinding time is not right yet. Rice needs enough time to become fine, but overgrinding creates heat.",,Rice,No
L01,ProcessCheck,L01_Process_All_Correct,Process diagnostic,"Force,GrindDuration",1,"Force,GrindDuration",,The force and duration are correct. Keep this process.,,Rice,No
L01,ProgressiveHint,L01_Hint_Force,Evaluate hint,Force,20,,,Rice is gentle and does not need maximum force. Try keeping the force near the middle of the slider.,,Rice,No
L01,PermanentClue,L01_Rice_Force,Unlocked after Correct,Force,0,,,Rice works best with medium force. Too light keeps the aroma closed; too heavy heats the powder and creates scorched notes.,Rice - Force Clue,Rice,Yes
L02,ProcessCheck,L02_Process_Speed_Wrong,Process diagnostic,Speed,30,,Speed,The speed is not right for tea yet. Keep it Slow so bitterness does not rush out before the sweet return.,,TeaLeaf,No
L02,ProcessCheck,L02_Process_Duration_Wrong,Process diagnostic,GrindDuration,25,,GrindDuration,Slow grinding does not mean endless grinding. Too much time still builds bitterness.,,TeaLeaf,No
L02,ProcessCheck,L02_Process_All_Correct,Process diagnostic,"Speed,GrindDuration",1,"Speed,GrindDuration",,The speed and duration are correct. Keep Slow and avoid sudden acceleration.,,TeaLeaf,No
L02,ProgressiveHint,L02_Hint_Speed,Evaluate hint,Speed,20,,,Tea needs time for the sweet return to appear. Set the grinding speed to Slow.,,TeaLeaf,No
L02,PermanentClue,L02_Tea_Speed,Unlocked after Correct,Speed,0,,,Tea leaf works best with slow grinding. Fast grinding releases bitterness before sweetness.,Tea Leaf - Speed Clue,TeaLeaf,Yes
L03,ProgressiveHint,L03_Hint_BlackSesame_Ratio,Evaluate hint,Ratio,21,,,The main aroma is not clear enough. Black sesame should be higher than glutinous rice.,,"BlackSesame,GlutinousRice",No
L03,ProgressiveHint,L03_Hint_GlutinousRice_Ratio,Evaluate hint,Ratio,20,,,The paste body is covering the sesame aroma. Reduce glutinous rice so it only supports the texture.,,GlutinousRice,No
L03,PermanentClue,L03_BlackSesame_Ratio,Unlocked after Correct,Ratio,0,,,"Black sesame is suited to the main note, but too much can become bitter and dominant.",Black Sesame - Ratio Clue,BlackSesame,Yes
L03,PermanentClue,L03_GlutinousRice_Ratio,Unlocked after Correct,Ratio,0,,,"Glutinous rice is suited to support texture and smoothness, not to lead the aroma.",Glutinous Rice - Ratio Clue,GlutinousRice,Yes
L04,ProgressiveHint,L04_Hint_Combination,Evaluate hint,Combination,20,,,Peanut and black sesame have similar nutty aromas. Try placing them in the same grinding group.,,"Peanut,BlackSesame",No
