LevelID,City,LevelName,TargetTasteName,LevelIntro,AvailableIngredients,RequiredIngredients,EnabledMechanics,CorrectIngredientOrder,CorrectRatioPattern,CorrectCombinationPattern,TargetForceLevel,TargetSpeedLevel,MinGrindDuration,MaxGrindDuration,PassingScore,SuccessFeedback,CloseFeedback,WrongFeedback
L01,Guangzhou,Rice Porridge Aroma,Force Tutorial,First lesson: grinding force. Rice has a gentle grain aroma that needs even pressure. Too light leaves it closed; too heavy overheats the powder and creates scorched notes.,Rice,Rice,"Force,GrindDuration",Rice,Rice=Medium,Rice,Medium,Medium,8,14,100,"A soft rice aroma spreads from the scent paper, like a fresh pot of morning porridge. The grains feel fine, the smell is clean and sweet, and the restoration is complete.","The rice aroma is present, but it still feels dull or slightly heated. The direction is close; refine the grinding process.","The rice aroma was not released correctly. Too light leaves hard grains; too heavy or too long creates hot, scorched notes."
L02,Chaozhou,Tea Bitterness And Sweet Return,Speed Tutorial,"Second lesson: grinding speed. Tea leaf carries bitterness and sweet return. If the speed is too fast, bitterness rushes out first and hides the later sweetness.",TeaLeaf,TeaLeaf,"Speed,GrindDuration",TeaLeaf,TeaLeaf=Medium,TeaLeaf,Medium,Slow,10,16,100,"The tea aroma opens slowly: first a clean bitterness, then a soft sweet return with stable layers.","The sweet return appears, but bitterness still arrives too early or too strongly. The speed is close; slow down or shorten the process a little.",Bitterness bursts out and covers the tea aroma. The grinding speed is too fast or the process lasted too long.
L03,Shunde,Black Sesame Paste Aroma,Ratio Tutorial,"Third lesson: ingredient ratio. Black sesame is the main aroma, while glutinous rice provides smoothness and body. Equal portions make the main note unclear.","BlackSesame,GlutinousRice","BlackSesame,GlutinousRice",Ratio,"BlackSesame,GlutinousRice",BlackSesame=More;GlutinousRice=Less,BlackSesame|GlutinousRice,Medium,Medium,14,22,100,"Rich sesame aroma lands first, while glutinous rice supports the body from behind. The main and support roles are clear.","Sesame and glutinous rice are both present, but the hierarchy is still unclear. Keep black sesame as the main note and adjust the ratio.","The aroma is buried by paste-like body, or the sesame bitterness is too heavy. The ratio does not form a clear main-support relationship."
L04,Foshan,Peanut Biscuit Nut Aroma,Combination Tutorial,"Fourth lesson: ingredient combination. Peanut and black sesame are both nutty aromas and can be ground together to form a biscuit-like warmth, but sesame should not dominate.","Peanut,BlackSesame","Peanut,BlackSesame",Combination,"Peanut,BlackSesame",Peanut=More;BlackSesame=Less,Peanut+BlackSesame,Medium,Medium,15,24,100,The solid warmth of peanut and the tail note of black sesame merge into one rounded nutty aroma without separating.,"Both nutty aromas appear, but the blend is not complete. Check whether they are in the same grinding group.",Peanut and black sesame feel separated. The biscuit-like tail note did not form; the grouping needs adjustment.
L05,Jiangmen,Tangerine Red Bean Sweetness,Order Tutorial,"Fifth lesson: ingredient order. Red bean builds the base, dried tangerine peel lifts the middle aroma, and rock sugar rounds the finish. Wrong order can let sweetness or bitterness cover the body.","RedBean,DriedTangerinePeel,RockSugar","RedBean,DriedTangerinePeel,RockSugar",IngredientOrder,"RedBean,DriedTangerinePeel,RockSugar",RedBean=More;RockSugar=SlightlyMore;DriedTangerinePeel=Less,RedBean|DriedTangerinePeel|RockSugar,Medium,Medium,18,28,100,"The red bean body opens first, dried tangerine peel lifts the middle, and rock sugar gives a clean warm finish.","The flavor is layered, but one note is out of order. Red bean should be early, and the finishing note should arrive later.","Bitterness, sweetness, or peel aroma appears before the red bean body. The order is disrupted."
L06,Meizhou,Salt-Baked Sand Ginger,Two-Dimension Challenge,Force and ratio are unlocked. Sand ginger must open as the core aroma while coarse salt stays supportive and dried tangerine peel cleans the finish.,"SandGinger,CoarseSalt,DriedTangerinePeel","SandGinger,CoarseSalt,DriedTangerinePeel","Force,Ratio,GrindDuration","SandGinger,DriedTangerinePeel,CoarseSalt",SandGinger=More;DriedTangerinePeel=SlightlyMore;CoarseSalt=Less,SandGinger|DriedTangerinePeel|CoarseSalt,MediumHigh,Medium,20,32,90,"Sand ginger opens clearly, dried peel brightens the finish, and coarse salt supports from below.","The sand ginger direction is right, but force or ratio is still unstable.","Salt or citrus takes the front, and sand ginger does not open as the core aroma."
L07,Shantou,White Pepper Soup Aroma,Two-Dimension Challenge,"Speed and combination are unlocked. White pepper is sharp and must be handled at a controlled speed, while peanut and dried tangerine peel should not force the aroma into one harsh blend.","WhitePepper,Peanut,DriedTangerinePeel","WhitePepper,Peanut,DriedTangerinePeel","Speed,Combination,GrindDuration","WhitePepper,Peanut,DriedTangerinePeel",WhitePepper=More;Peanut=SlightlyMore;DriedTangerinePeel=Less,WhitePepper|Peanut|DriedTangerinePeel,Medium,Medium,20,32,90,"White pepper stays clear without choking, peanut keeps warmth, and dried peel finishes lightly.","The aroma direction is close, but some ingredients still interfere with each other.","White pepper is too harsh, or dried peel bitterness suppresses the warm peanut note."
L08,Zhaoqing,Lotus Leaf Sticky Rice,Three-Dimension Challenge,"Ratio, combination, and order are unlocked. Restore a layered steamed rice aroma: red bean base, glutinous rice body, a sesame tail, and a fragile lotus-leaf finish.","GlutinousRice,RedBean,LotusLeaf,BlackSesame","GlutinousRice,RedBean,LotusLeaf,BlackSesame","Ratio,Combination,IngredientOrder","RedBean,GlutinousRice,BlackSesame,LotusLeaf",RedBean=More;GlutinousRice=SlightlyMore;BlackSesame=Less;LotusLeaf=VeryLess,GlutinousRice+LotusLeaf|RedBean|BlackSesame,Medium,Medium,25,40,90,"Red bean forms the base, glutinous rice supports the body, black sesame adds tail depth, and lotus leaf lifts the finish.","The steamed rice direction appears, but lotus leaf, sesame, or red bean needs a more accurate role.","Lotus leaf is crushed, or black sesame steals the main body."
L09,Yangjiang,Douchi Steamed Fish,Four-Dimension Challenge,"Force, speed, ratio, order, and duration are unlocked. Yangjiang douchi should become the savory core, with ginger in the middle and peel cleaning the finish.","YangjiangDouchi,Ginger,DriedTangerinePeel,CoarseSalt","YangjiangDouchi,Ginger,DriedTangerinePeel,CoarseSalt","Force,Speed,Ratio,IngredientOrder,GrindDuration","YangjiangDouchi,Ginger,CoarseSalt,DriedTangerinePeel",YangjiangDouchi=More;Ginger=SlightlyMore;DriedTangerinePeel=Less;CoarseSalt=VeryLess,YangjiangDouchi|Ginger|DriedTangerinePeel|CoarseSalt,Medium,Medium,28,45,90,"Douchi becomes the savory core, ginger opens freshness, salt supports, and peel cleans the finish.","The douchi body is present, but ginger, salt, or peel still needs a better position.","Salt is too heavy, ginger is too sharp, or peel bitterness arrives too early."
L10,Zhanjiang,Ginger Scallion Dipping Sauce,Final Free Challenge,"All core dimensions are unlocked. Restore the full ginger-scallion dipping sauce structure with a salt base, sand ginger body, ginger freshness, and scallion finish.","SandGinger,Ginger,ScallionWhite,CoarseSalt","SandGinger,Ginger,ScallionWhite,CoarseSalt","Force,Speed,Ratio,Combination,IngredientOrder,GrindDuration","CoarseSalt,SandGinger,Ginger,ScallionWhite",SandGinger=More;Ginger=SlightlyMore;ScallionWhite=Less;CoarseSalt=VeryLess,SandGinger+Ginger|ScallionWhite|CoarseSalt,MediumHigh,Medium,30,50,90,"Salt supports the base, sand ginger opens depth, ginger adds freshness, and scallion preserves the final green aroma.","The dipping sauce is close, but scallion, ginger grouping, or final order still needs adjustment.","Ginger is too harsh, scallion is crushed, or salt steals the main role."
